Rank,Name,Team,Age,Position,Games,GamesStarted,RushAttempts,RushYds,RushTD,RushLng,RushY/A,RushY/G,RushA/G,RecTargets,Rec,RedYds,RedY/R,RedTD,RecLng,RecR/G,RecY/G,Catch%,ScrimageYrds,TotalTds,Fumble
1,Ezekiel Elliott,Dallas Cowboys,21,RB,15,15,322,1631,15,60,5.1,108.7,21.5,39,32,363,11.3,1,83,2.1,24.2,82.1%,1994,16,5
2,LeGarrette Blount,New England Patriots,30,RB,16,8,299,1161,18,44,3.9,72.6,18.7,8,7,38,5.4,0,16,0.4,2.4,87.5%,1199,18,2
3,David Johnson,Arizona Cardinals,25,RB,16,16,293,1239,16,58,4.2,77.4,18.3,120,80,879,11.0,4,58,5.0,54.9,66.7%,2118,20,5
4,DeMarco Murray,Tennessee Titans,28,RB,16,16,293,1287,9,75,4.4,80.4,18.3,67,53,377,7.1,3,35,3.3,23.6,79.1%,1664,12,3
5,Todd Gurley,Los Angeles Rams,22,RB,16,16,278,885,6,24,3.2,55.3,17.4,58,43,327,7.6,0,33,2.7,20.4,74.1%,1212,6,2
6,Lamar Miller,Houston Texans,25,RB,14,14,268,1073,5,45,4.0,76.6,19.1,39,31,188,6.1,1,16,2.2,13.4,79.5%,1261,6,2
7,Frank Gore,Indianapolis Colts,33,RB,16,16,263,1025,4,22,3.9,64.1,16.4,47,38,277,7.3,4,49,2.4,17.3,80.9%,1302,8,2
8,Jay Ajayi,Miami Dolphins,23,RB,15,12,261,1272,8,62,4.9,84.8,17.4,35,27,151,5.6,0,15,1.8,10.1,77.1%,1423,8,4
9,Le'Veon Bell,Pittsburgh Steelers,24,RB,12,12,261,1268,7,44,4.9,105.7,21.8,94,75,616,8.2,2,32,6.3,51.3,79.8%,1884,9,4
10,Melvin Gordon,Los Angeles Chargers,23,RB,13,11,254,997,10,48,3.9,76.7,19.5,57,41,419,10.2,2,35,3.2,32.2,71.9%,1416,12,2
